

Software Version;3.08.01



Experiment File Path:;C:\Users\User\Documents\Experiments\Lubomir\IFN-y_mouse_MES_SPL_E1_ELISA.xpt
Protocol File Path:;C:\Users\User\Documents\Protocols\IFN-y_mouse_samples_Lubomir_Bednar.prt



Plate Number;Plate 1
Date;7/30/2020
Time;5:12:25 PM
Reader Type:;Synergy HTX
Reader Serial Number:;1708301D
Reading Type;Reader

Procedure Details

Plate Type;96 WELL PLATE (Use plate lid)
Eject plate on completion;
Read;IFNy1
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy2
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy3
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8

Layout
;1;2;3;4;5;6;7;8;9;10;11;12
A;STD1;STD1;SPL1;SPL1;SPL9;SPL9;SPL17;SPL17;SPL25;SPL25;SPL33;SPL33;Well ID
;2000;2000;;;;;;;;;;;Conc/Dil
B;STD2;STD2;SPL2;SPL2;SPL10;SPL10;SPL18;SPL18;SPL26;SPL26;SPL34;SPL34;Well ID
;1000;1000;;;;;;;;;;;Conc/Dil
C;STD3;STD3;SPL3;SPL3;SPL11;SPL11;SPL19;SPL19;SPL27;SPL27;SPL35;SPL35;Well ID
;500;500;;;;;;;;;;;Conc/Dil
D;STD4;STD4;SPL4;SPL4;SPL12;SPL12;SPL20;SPL20;SPL28;SPL28;SPL36;SPL36;Well ID
;250;250;;;;;;;;;;;Conc/Dil
E;STD5;STD5;SPL5;SPL5;SPL13;SPL13;SPL21;SPL21;SPL29;SPL29;SPL37;SPL37;Well ID
;125;125;;;;;;;;;;;Conc/Dil
F;STD6;STD6;SPL6;SPL6;SPL14;SPL14;SPL22;SPL22;SPL30;SPL30;SPL38;SPL38;Well ID
;62.5;62.5;;;;;;;;;;;Conc/Dil
G;STD7;STD7;SPL7;SPL7;SPL15;SPL15;SPL23;SPL23;SPL31;SPL31;SPL39;SPL39;Well ID
;31.25;31.25;;;;;;;;;;;Conc/Dil
H;BLK;BLK;SPL8;SPL8;SPL16;SPL16;SPL24;SPL24;SPL32;SPL32;SPL40;SPL40;Well ID
;;;;;;;;;;;;;Conc/Dil



Actual Temperature:;27.7

IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3.574;3.575;1.322;1.312;2.374;2.566;0.320;0.354;1.292;1.243;0.274;0.268;IFNy1:450
B;2.957;2.749;0.459;0.472;0.131;0.118;1.464;1.471;0.339;0.321;0.458;0.410;IFNy1:450
C;1.676;1.835;1.532;1.471;1.033;1.344;0.351;0.341;0.394;0.410;0.349;0.259;IFNy1:450
D;1.128;1.071;2.739;2.708;0.688;0.675;0.249;0.263;0.303;0.298;0.237;0.235;IFNy1:450
E;0.612;0.606;0.529;0.490;0.119;0.120;0.252;0.249;0.698;0.619;0.234;0.241;IFNy1:450
F;0.364;0.357;1.566;1.706;0.462;0.489;0.345;0.355;0.210;0.206;0.201;0.206;IFNy1:450
G;0.230;0.205;0.759;0.787;0.561;0.585;0.308;0.296;0.314;0.289;0.287;0.263;IFNy1:450
H;0.102;0.099;0.208;0.187;0.210;0.216;0.186;0.194;0.235;0.251;0.258;0.296;IFNy1:450



Actual Temperature:;27.7

IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3.575;3.566;1.325;1.316;2.374;2.537;0.320;0.353;1.294;1.246;0.278;0.272;IFNy2:450
B;2.937;2.747;0.463;0.471;0.132;0.119;1.475;1.478;0.334;0.322;0.457;0.420;IFNy2:450
C;1.694;1.834;1.525;1.474;1.034;1.376;0.352;0.343;0.395;0.407;0.305;0.262;IFNy2:450
D;1.139;1.064;2.807;2.705;0.692;0.672;0.252;0.265;0.304;0.302;0.241;0.239;IFNy2:450
E;0.614;0.607;0.534;0.497;0.121;0.122;0.257;0.251;0.706;0.635;0.238;0.244;IFNy2:450
F;0.367;0.361;1.589;1.705;0.461;0.489;0.350;0.357;0.212;0.210;0.204;0.207;IFNy2:450
G;0.230;0.208;0.759;0.791;0.567;0.593;0.311;0.300;0.318;0.293;0.290;0.267;IFNy2:450
H;0.102;0.099;0.210;0.188;0.213;0.218;0.190;0.195;0.238;0.249;0.261;0.299;IFNy2:450



Actual Temperature:;27.7

IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3.579;3.626;1.327;1.316;2.373;2.534;0.323;0.353;1.298;1.258;0.280;0.275;IFNy3:450
B;2.918;2.767;0.467;0.475;0.132;0.121;1.500;1.488;0.335;0.322;0.458;0.424;IFNy3:450
C;1.705;1.839;1.533;1.487;1.040;1.406;0.356;0.347;0.400;0.410;0.253;0.265;IFNy3:450
D;1.142;1.083;2.846;2.735;0.697;0.678;0.255;0.267;0.306;0.306;0.244;0.241;IFNy3:450
E;0.617;0.611;0.539;0.507;0.122;0.124;0.261;0.252;0.713;0.645;0.241;0.247;IFNy3:450
F;0.368;0.364;1.604;1.707;0.463;0.491;0.353;0.359;0.213;0.213;0.205;0.208;IFNy3:450
G;0.231;0.209;0.760;0.793;0.571;0.600;0.314;0.304;0.320;0.298;0.295;0.270;IFNy3:450
H;0.102;0.100;0.212;0.189;0.213;0.219;0.191;0.196;0.240;0.250;0.263;0.300;IFNy3:450

Blank IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3.474;3.474;1.222;1.211;2.274;2.466;0.220;0.254;1.191;1.143;0.174;0.168;Blank IFNy1:450
B;2.856;2.649;0.359;0.372;0.030;0.018;1.364;1.371;0.239;0.221;0.358;0.310;Blank IFNy1:450
C;1.576;1.735;1.432;1.371;0.933;1.243;0.250;0.240;0.293;0.309;0.249;0.158;Blank IFNy1:450
D;1.028;0.971;2.638;2.608;0.587;0.575;0.149;0.163;0.203;0.198;0.136;0.135;Blank IFNy1:450
E;0.511;0.506;0.429;0.390;0.019;0.020;0.152;0.148;0.597;0.519;0.134;0.141;Blank IFNy1:450
F;0.264;0.256;1.466;1.606;0.362;0.389;0.245;0.254;0.110;0.106;0.101;0.106;Blank IFNy1:450
G;0.130;0.105;0.659;0.687;0.461;0.485;0.208;0.196;0.214;0.189;0.187;0.163;Blank IFNy1:450
H;0.001;-0.001;0.107;0.087;0.110;0.116;0.086;0.093;0.135;0.151;0.158;0.196;Blank IFNy1:450

Blank IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3.475;3.465;1.224;1.216;2.273;2.437;0.220;0.253;1.194;1.146;0.178;0.171;Blank IFNy2:450
B;2.837;2.647;0.362;0.371;0.031;0.019;1.375;1.378;0.233;0.221;0.356;0.319;Blank IFNy2:450
C;1.594;1.733;1.425;1.374;0.933;1.276;0.252;0.242;0.295;0.306;0.205;0.162;Blank IFNy2:450
D;1.038;0.963;2.706;2.605;0.591;0.572;0.151;0.165;0.204;0.202;0.140;0.138;Blank IFNy2:450
E;0.513;0.506;0.433;0.396;0.020;0.022;0.157;0.150;0.606;0.534;0.138;0.144;Blank IFNy2:450
F;0.266;0.260;1.489;1.605;0.360;0.389;0.250;0.256;0.112;0.110;0.103;0.107;Blank IFNy2:450
G;0.130;0.108;0.658;0.690;0.466;0.492;0.211;0.199;0.217;0.193;0.189;0.167;Blank IFNy2:450
H;0.001;-0.001;0.110;0.087;0.112;0.118;0.089;0.094;0.138;0.149;0.160;0.198;Blank IFNy2:450

Blank IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;3.478;3.525;1.226;1.215;2.272;2.433;0.222;0.252;1.197;1.157;0.179;0.174;Blank IFNy3:450
B;2.817;2.666;0.366;0.374;0.031;0.020;1.399;1.387;0.234;0.221;0.357;0.323;Blank IFNy3:450
C;1.604;1.739;1.432;1.386;0.939;1.305;0.255;0.246;0.299;0.309;0.152;0.164;Blank IFNy3:450
D;1.041;0.982;2.745;2.634;0.596;0.577;0.154;0.166;0.205;0.205;0.143;0.140;Blank IFNy3:450
E;0.516;0.510;0.438;0.406;0.021;0.023;0.160;0.151;0.612;0.544;0.140;0.146;Blank IFNy3:450
F;0.267;0.263;1.503;1.606;0.362;0.390;0.252;0.258;0.112;0.112;0.104;0.107;Blank IFNy3:450
G;0.130;0.108;0.660;0.692;0.470;0.499;0.213;0.203;0.219;0.197;0.194;0.169;Blank IFNy3:450
H;0.001;-0.001;0.111;0.088;0.112;0.118;0.090;0.095;0.139;0.149;0.162;0.199;Blank IFNy3:450

