EH_ID,OD
LM0068,0.478833333333333
LM0079,0.114333333333333
LM0055,0.236833333333333
LM0093,1.379
LM0059,0.2475
LM0085,0.158
LM0029,0.153
LM0061,0.2525
LM0024,0.205
LM0047,0.091166666666667
LM0083,1.17133333333333
LM0094,0.228166666666667
LM0041,0.301833333333333
LM0077,0.202833333333333
LM0051,0.568666666666667
LM0081,0.110333333333333
LM0044,0.204833333333333
LM0063,0.1435
LM0064,0.174
LM0090,0.337166666666667
LM0026,0.181666666666667
LM0088,0.138666666666667
LM0086,0.1405
LM0075,0.104666666666667
LM0095,0.178166666666667
LM0076,0.178833333333333
