Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,il12,30.07,30.07,0.001,3.27396510540472E-09,9.64E-07,0.0033947375
lm0041,il12,30.07,30.07,0.001,,,
lm0090,il12,27.87,27.77,0.145,1.45910082919017E-08,1.79E-06,0.0081434144
lm0090,il12,27.67,27.77,0.145,,,
lm0044,il12,29.12,29.07,0.066,6.25537206812659E-09,8.52E-07,0.0073400045
lm0044,il12,29.03,29.07,0.066,,,
lm0086,il12,27.6,27.73,0.182,1.5E-08,1.87E-06,0.0080216173
lm0086,il12,27.86,27.73,0.182,,,
lm0069,il12,27.93,27.92,0.01,1.32187560264317E-08,1.43E-06,0.0092644855
lm0069,il12,27.92,27.92,0.01,,,
lm0076,il12,29.68,29.87,0.267,3.73450663390078E-09,1.14E-06,0.0032780206
lm0076,il12,30.06,29.87,0.267,,,
lm0063,il12,27.2,27.22,0.025,2.08318197624294E-08,2.1E-06,0.0099082272
lm0063,il12,27.24,27.22,0.025,,,
lm0095,il12,28.18,29.16,1.394,5.9100050801657E-09,1.0877852E-06,0.0054330626
lm0095,il12,30.15,29.16,1.394,,,
lm0026,il12,31.29,31.04,0.353,1.74246785928043E-09,9.08E-07,0.0019190668
lm0026,il12,30.79,31.04,0.353,,,
lm0051,il12,27.13,26.96,0.237,2.46278887363432E-08,1.51E-06,0.0163273531
lm0051,il12,26.8,26.96,0.237,,,
lm0081,il12,26.88,26.91,0.036,2.55171226388047E-08,2.05E-06,0.0124270063
lm0081,il12,26.94,26.91,0.036,,,
lm0067,il12,28.51,28.49,0.027,9.14482682857165E-09,5.74E-07,0.0159339754
lm0067,il12,28.47,28.49,0.027,,,
lm0024,il12,28.12,27.86,0.371,1.37455192349286E-08,1.0411905E-06,0.0132017332
lm0024,il12,27.6,27.86,0.371,,,
lm0077,il12,29.75,28.91,1.181,6.94518317396633E-09,4.77E-07,0.0145658269
lm0077,il12,28.08,28.91,1.181,,,
lm0085,il12,30.32,30.63,0.43,2.27914791356799E-09,3.4192491E-07,0.0066656387
lm0085,il12,30.93,30.63,0.43,,,
lm0083,il12,27.86,27.75,0.16,1.48177494590499E-08,7.2E-07,0.0205886984
lm0083,il12,27.63,27.75,0.16,,,
lm0061,il12,28.14,28,0.2,1.25539358375219E-08,1.1255004E-06,0.0111540927
lm0061,il12,27.86,28,0.2,,,
lm0088,il12,27.9,28.06,0.222,1.20857707481751E-08,9.53E-07,0.0126848675
lm0088,il12,28.22,28.06,0.222,,,
lm0094,il12,27.68,27.86,0.257,1.37570851910019E-08,1.8883491E-06,0.0072852447
lm0094,il12,28.04,27.86,0.257,,,
lm0046,il12,29.33,29.25,0.114,5.57210925238306E-09,5.94E-07,0.009384141
lm0046,il12,29.17,29.25,0.114,,,
lm0092,il12,27.46,27.34,0.162,1.92577363166329E-08,1.46E-06,0.0131770758
lm0092,il12,27.23,27.34,0.162,,,
lm0047,il12,29.14,29.16,0.023,5.93199184025578E-09,7.1867463E-07,0.0082540716
lm0047,il12,29.17,29.16,0.023,,,
lm0084,il12,28.61,28.34,0.396,1.01095785115773E-08,9.5E-07,0.0106404802
lm0084,il12,28.06,28.34,0.396,,,
lm0043,il12,29.27,27.78,2.112,1.44982418478457E-08,1.22E-06,0.0118537487
lm0043,il12,26.29,27.78,2.112,,,
lm0029,il12,26.06,25.98,0.118,4.67678174457743E-08,1.31E-06,0.0356742196
lm0029,il12,25.89,25.98,0.118,,,
lm0052,il12,28.04,28.18,0.194,1.11845919172128E-08,1.0262946E-06,0.0108980325
lm0052,il12,28.32,28.18,0.194,,,
lm0075,il12,26.55,26.33,0.305,3.71884802605241E-08,9.39E-07,0.0396171642
lm0075,il12,26.11,26.33,0.305,,,
lm0064,il12,29.87,29.58,0.414,4.49869863544499E-09,6.35E-07,0.0070832584
lm0064,il12,29.29,29.58,0.414,,,
lm0082,il12,28.92,28.69,0.32,8E-09,1.49E-06,0.0053857834
lm0082,il12,28.46,28.69,0.32,,,
lm0068,il12,26.38,26.24,0.209,3.95362906209078E-08,2.2504935E-06,0.0175678315
lm0068,il12,26.09,26.24,0.209,,,
lm0093,il12,26.48,26.47,0.014,3.39461744671518E-08,1.35E-06,0.0251452455
lm0093,il12,26.46,26.47,0.014,,,
lm0079,il12,26.52,26.46,0.085,3.40793127941254E-08,1.36E-06,0.0251471264
lm0079,il12,26.4,26.46,0.085,,,
lm0055,il12,26.22,26.2,0.034,4.04992210240027E-08,1.4226183E-06,0.0284680866
lm0055,il12,26.18,26.2,0.034,,,
lm0059,il12,27.12,26.74,0.529,2.84088435501382E-08,1.56E-06,0.0182493079
lm0059,il12,26.37,26.74,0.529,,,
lm0042,il12,29.36,29.16,0.286,5.91796809247446E-09,1.04E-06,0.0056820374
lm0042,il12,28.96,29.16,0.286,,,
lm0065,il12,28.44,28.35,0.117,1E-08,1.03E-06,0.0096805739
lm0065,il12,28.27,28.35,0.117,,,
lm0080,IL12,28.17,28.22,0.074,1.08889604993391E-08,1.44E-06,0.0075598362
lm0080,IL12,28.27,28.22,0.074,,,
lm0028,IL12,27.96,27.7,0.366,1.52721426350672E-08,1.14E-06,0.013387406
lm0028,IL12,27.44,27.7,0.366,,,
lm0033,IL12,27.26,27.23,0.044,2.06808342899008E-08,4.6E-07,0.0449735189
lm0033,IL12,27.2,27.23,0.044,,,
lm0045,IL12,28.84,28.94,0.128,6.84585755204323E-09,9.5E-07,0.0072093058
lm0045,IL12,29.03,28.94,0.128,,,
lm0023,IL12,29.9,29.96,0.082,3.52211058182572E-09,5.68E-07,0.0062058522
lm0023,IL12,30.02,29.96,0.082,,,
lm0089,IL12,29.66,29.74,0.113,4.06549476125352E-09,5.73E-07,0.0070928872
lm0089,IL12,29.82,29.74,0.113,,,
lm0035,IL12,29.88,29.86,0.027,3.75317796877992E-09,7.29E-07,0.005145233
lm0035,IL12,29.84,29.86,0.027,,,
lm0030,IL12,29.04,28.94,0.141,6.82238267670449E-09,1.14E-06,0.0059679798
lm0030,IL12,28.84,28.94,0.141,,,
lm0056,IL12,30.58,30.45,0.185,2.55877880337786E-09,8.29E-07,0.0030864688
lm0056,IL12,30.32,30.45,0.185,,,
lm0091,IL12,29.83,29.82,0.006,3.85025026492901E-09,6.25E-07,0.0061630898
lm0091,IL12,29.82,29.82,0.006,,,
lm0073,IL12,29.71,29.75,0.052,4E-09,6.51E-07,0.0061962874
lm0073,IL12,29.79,29.75,0.052,,,
lm0066,IL12,27.98,27.91,0.103,1.33255211306386E-08,1.39E-06,0.0095881213
lm0066,IL12,27.84,27.91,0.103,,,
lm0032,IL12,31.41,31.26,0.205,1.51135306951255E-09,6.3E-07,0.0023994087
lm0032,IL12,31.12,31.26,0.205,,,
lm0031,IL12,29.83,30.09,0.37,3.23124278088688E-09,8.69E-07,0.003716453
lm0031,IL12,30.35,30.09,0.37,,,
lm0025,IL12,28.31,28.3,0.021,1.03547117945589E-08,1.55E-06,0.0066729666
lm0025,IL12,28.28,28.3,0.021,,,
lm0049,IL12,30.74,30.63,0.152,2.27012470928665E-09,9.49E-07,0.0023909971
lm0049,IL12,30.53,30.63,0.152,,,
lm0048,IL12,29.63,29.35,0.398,5.23266432302026E-09,9.92E-07,0.0052765475
lm0048,IL12,29.07,29.35,0.398,,,
lm0078,IL12,31.73,31.42,0.439,1.36377819097435E-09,1.04E-06,0.0013102157
lm0078,IL12,31.11,31.42,0.439,,,
lm0072,IL12,30.2,30.48,0.388,2.51451988643053E-09,1.42E-06,0.0017657023
lm0072,IL12,30.75,30.48,0.388,,,
lm0071,IL12,31.15,31.13,0.039,1.64942362217594E-09,1.14E-06,0.0014460912
lm0071,IL12,31.1,31.13,0.039,,,
lm0027,IL12,30.19,30.15,0.056,3.11378728345251E-09,1.65E-06,0.0018902129
lm0027,IL12,30.11,30.15,0.056,,,
