Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,INFg,30.57,30.34,0.314,1.08627029716926E-08,9.64E-07,0.0112634144
lm0041,INFg,30.12,30.34,0.314,,,
lm0090,INFg,26.48,26.62,0.199,1.0316653038013E-07,1.79E-06,0.0575784612
lm0090,INFg,26.76,26.62,0.199,,,
lm0044,INFg,28.49,28.52,0.044,3.2726780951754E-08,8.52E-07,0.0384013482
lm0044,INFg,28.55,28.52,0.044,,,
lm0086,INFg,28.84,28.85,0.013,2.68679680912894E-08,1.87E-06,0.0143853552
lm0086,INFg,28.86,28.85,0.013,,,
lm0069,INFg,29.57,29.51,0.088,1.8E-08,1.43E-06,0.0125883658
lm0069,INFg,29.45,29.51,0.088,,,
lm0076,INFg,29.55,29.72,0.249,1.58351848810702E-08,1.14E-06,0.013899577
lm0076,INFg,29.9,29.72,0.249,,,
lm0063,INFg,26.3,26.84,0.759,9.04843219445566E-08,2.1E-06,0.0430370092
lm0063,INFg,27.37,26.84,0.759,,,
lm0095,INFg,30.48,30.49,0.013,1E-08,1.0877852E-06,0.0091692202
lm0095,INFg,30.5,30.49,0.013,,,
lm0026,INFg,31.49,31.63,0.199,5E-09,9.08E-07,0.0055070179
lm0026,INFg,31.77,31.63,0.199,,,
lm0051,INFg,26.44,26.42,0.03,1.16597844104272E-07,1.51E-06,0.0772999337
lm0051,INFg,26.4,26.42,0.03,,,
lm0081,INFg,27.09,27.48,0.553,6.14244141818828E-08,2.05E-06,0.0299140931
lm0081,INFg,27.87,27.48,0.553,,,
lm0067,INFg,29.16,29.27,0.157,2.08303946126168E-08,5.74E-07,0.0362949459
lm0067,INFg,29.38,29.27,0.157,,,
lm0024,INFg,29.1,28.81,0.403,2.7392777007251E-08,1.0411905E-06,0.0263090923
lm0024,INFg,28.53,28.81,0.403,,,
lm0077,INFg,30.4,30.59,0.274,9.37391122736492E-09,4.77E-07,0.0196594913
lm0077,INFg,30.78,30.59,0.274,,,
