Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,stat6,29.55,29.64,0.116,1.96181241592135E-08,9.64E-07,0.020341812
lm0041,stat6,29.72,29.64,0.116,,,
lm0090,stat6,25.96,26.06,0.146,1.66894383892374E-07,1.79E-06,0.0931457303
lm0090,stat6,26.16,26.06,0.146,,,
lm0044,stat6,29.44,29.13,0.439,2.64866231085308E-08,8.52E-07,0.0310791959
lm0044,stat6,28.82,29.13,0.439,,,
lm0086,stat6,26.86,26.95,0.129,9.77970731415405E-08,1.87E-06,0.052361445
lm0086,stat6,27.04,26.95,0.129,,,
lm0069,stat6,28.58,28.39,0.263,4.13522353269946E-08,1.43E-06,0.0289820907
lm0069,stat6,28.2,28.39,0.263,,,
lm0076,stat6,29.14,29.08,0.081,2.73886753553595E-08,1.14E-06,0.024040831
lm0076,stat6,29.02,29.08,0.081,,,
lm0063,stat6,26.19,26.32,0.179,1.42728955103356E-07,2.1E-06,0.0678860958
lm0063,stat6,26.45,26.32,0.179,,,
lm0095,stat6,28.45,28.24,0.289,4.52242717737623E-08,1.0877852E-06,0.0415746342
lm0095,stat6,28.04,28.24,0.289,,,
lm0026,stat6,29.66,29.73,0.094,1.85745496973619E-08,9.08E-07,0.0204570788
lm0026,stat6,29.79,29.73,0.094,,,
lm0051,stat6,26.57,26.86,0.252,1.03274913237258E-07,1.51E-06,0.0684673375
lm0051,stat6,26.99,26.86,0.252,,,
lm0081,stat6,26.04,25.9,0.202,1.83924808514191E-07,2.05E-06,0.0895725897
lm0081,stat6,25.76,25.9,0.202,,,
lm0067,stat6,26.97,27.07,0.15,9.09485232500563E-08,5.74E-07,0.1584689964
lm0067,stat6,27.18,27.07,0.15,,,
lm0024,stat6,26.62,26.73,0.147,1.1188760309158E-07,1.0411905E-06,0.1074612216
lm0024,stat6,26.83,26.73,0.147,,,
lm0077,stat6,27.84,28.48,0.899,3.92746770156961E-08,4.77E-07,0.0823690507
lm0077,stat6,29.11,28.48,0.899,,,
lm0085,stat6,29.15,29.41,0.37,2.24180951894107E-08,3.4192491E-07,0.0655643813
lm0085,stat6,29.67,29.41,0.37,,,
lm0083,stat6,27.41,27.58,0.23,6.73094611088946E-08,7.2E-07,0.0935239322
lm0083,stat6,27.74,27.58,0.23,,,
lm0061,stat6,25.46,25.49,0.041,2.35249598391135E-07,1.1255004E-06,0.209017783
lm0061,stat6,25.52,25.49,0.041,,,
lm0088,stat6,26.43,26.66,0.331,1.16306888231356E-07,9.53E-07,0.12207227
lm0088,stat6,26.9,26.66,0.331,,,
lm0084,stat6,28.81,28.72,0.129,3.4E-08,1.89E-06,0.0180030828
lm0084,stat6,28.63,28.72,0.129,,,
lm0046,stat6,27.52,27.49,0.046,7.07985817681413E-08,5.94E-07,0.1192338207
lm0046,stat6,27.46,27.49,0.046,,,
lm0092,stat6,25.81,25.81,0.003,1.93676742273649E-07,1.46E-06,0.1325230068
lm0092,stat6,25.81,25.81,0.003,,,
lm0047,stat6,26.98,27.25,0.37,8.20995547113555E-08,7.1867463E-07,0.1142374467
lm0047,stat6,27.51,27.25,0.37,,,
lm0094,stat6,25.62,25.73,0.155,2.03442178391418E-07,9.5E-07,0.2141258867
lm0094,stat6,25.84,25.73,0.155,,,
lm0043,stat6,26.8,27.07,0.384,9.12589147320164E-08,1.22E-06,0.0746132018
lm0043,stat6,27.34,27.07,0.384,,,
lm0029,stat6,25.51,25.42,0.13,2.4546923728162E-07,1.31E-06,0.1872425091
lm0029,stat6,25.32,25.42,0.13,,,
lm0052,stat6,27,27.02,0.017,9.41864300943121E-08,1.0262946E-06,0.0917732882
lm0052,stat6,27.03,27.02,0.017,,,
lm0075,stat6,24.01,24.12,0.16,5.32716864873895E-07,9.39E-07,0.5675072317
lm0075,stat6,24.24,24.12,0.16,,,
lm0064,stat6,26.44,26.25,0.265,1.48836098745757E-07,6.35E-07,0.2343443381
lm0064,stat6,26.06,26.25,0.265,,,
lm0082,stat6,26.44,26.26,0.256,1.48485965608609E-07,1.49E-06,0.0996805461
lm0082,stat6,26.07,26.26,0.256,,,
lm0068,stat6,26.01,26.08,0.093,1.65160203705651E-07,2.2504935E-06,0.0733884384
lm0068,stat6,26.14,26.08,0.093,,,
lm0093,stat6,25.46,25.54,0.122,2.27458877776619E-07,1.35E-06,0.1684875958
lm0093,stat6,25.63,25.54,0.122,,,
lm0079,stat6,23.79,23.58,0.298,7.38757876156851E-07,1.36E-06,0.5451294695
lm0079,stat6,23.37,23.58,0.298,,,
lm0055,stat6,26.08,25.99,0.12,1.73752400052356E-07,1.4226183E-06,0.1221356425
lm0055,stat6,25.91,25.99,0.12,,,
lm0059,stat6,25.04,24.91,0.174,3.3139963333914E-07,1.56E-06,0.2128849041
lm0059,stat6,24.79,24.91,0.174,,,
lm0042,stat6,28.47,28.52,0.082,3.81959222534597E-08,1.04E-06,0.0366731715
lm0042,stat6,28.58,28.52,0.082,,,
lm0065,stat6,27.62,27.61,0.017,6.6E-08,1.03E-06,0.0638696389
lm0065,stat6,27.6,27.61,0.017,,,
lm0080,stat6,25.89,25.98,0.128,1.74601947028295E-07,1.44E-06,0.1212202137
lm0080,stat6,26.08,25.98,0.128,,,
lm0028,stat6,25.62,25.63,0.012,2.16585926919674E-07,1.14E-06,0.1898570369
lm0028,stat6,25.63,25.63,0.012,,,
lm0033,stat6,25.54,25.52,0.032,2.31E-07,4.6E-07,0.5023023459
lm0033,stat6,25.5,25.52,0.032,,,
lm0045,stat6,27.22,27.01,0.303,9.45955412853067E-08,9.5E-07,0.0996176422
lm0045,stat6,26.79,27.01,0.303,,,
lm0023,stat6,28.39,28.42,0.042,4.06150857766384E-08,5.68E-07,0.0715625517
lm0023,stat6,28.45,28.42,0.042,,,
