;Temperature;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
;58;3736,72139982446;3891,53071416835;3575,42287437868;3523,79012362226;2400,95162429397;2462,92893049378;4114,53912758606;3935,85075731956;2539,66346505325;2340,30997332923;2323,63863020579;2404,21158356844;3468,31300741332;3953,34736137097;3661,1939937078;2318,76180791092;2355,42968236093;2494,1488666947;4523,23935306007;4295,75844478035;3687,26476515482;2397,77273927821;2305,28732293628;2357,30182054138;2738,83033502384;3271,64168021017;3546,27614438011;2425,61697286314;2486,09099796518;2478,84580663717;4568,07980469156;3582,54167465718;2358,68733624907;2359,47447565404;2319,02620326743;2362,14869321283;2326,28840536624;2321,68535063694;2326,35812233174;2364,06867174043;2398,96726903735;2508,38270740476;2348,58767198645;2344,19457785865;2337,25449521559;2357,51964279004;3144,14750799112;2308,57964388014;4353,97745856866;4253,75377235797;3967,18874056847;2440,88016308477;2575,44625563097;2619,88180209386;4529,47412464794;3178,97514207539;3934,40657156822;2359,10990364522;2384,48203306717;2281,19819290086;4449,66948384146;4415,84611642967;4232,28530792672;2518,82873114687;2879,45926994333;2772,65453635517;4675,22713587732;4454,68973427994;2318,86121134334;2335,7623956321;2656,17283542115;2347,75348520576;4601,61090187585;4560,42443284344;4172,16974978204;2600,68022579952;2614,58556401456;3403,98148179874;4291,02222314488;4587,67582771887;2339,62982470385;3442,26845083933;2330,97415615608;2504,31628548645;2392,36230198748;2376,6476421866;2422,47533719243;2540,34190594047;2708,73488640289;3289,50566622132;2381,04983534382;2326,42867882935;2349,83178358073;2351,25059084654;2365,31327119234;2351,97618523813
;58,5;3729,65411893442;3884,02080146168;3562,82918288176;3515,38232803771;2399,524817044;2459,79485012746;4105,09719112275;3918,99189249372;2536,27618414447;2338,08957046278;2327,22189773803;2403,37845793761;3471,56838145879;3951,86011577631;3654,50677859321;2318,76607201778;2354,48352783737;2492,0631465327;4521,86744811621;4290,93702133292;3675,65024707025;2396,99593172333;2304,6194284109;2355,72757047248;2740,38670197325;3272,28957823204;3541,64673789415;2426,63648436582;2486,18107800402;2477,22693168454;4567,85362298225;3576,66438876282;2359,17321285459;2357,46407343738;2317,01200094504;2361,36932592324;2327,74117530601;2323,69171407847;2327,62023799993;2364,47238055753;2399,05734622129;2507,30065938219;2351,43190720631;2346,38940887897;2337,2119727319;2355,08820542986;3129,95918379803;2312,15390688716;4352,69017709563;4256,70078380838;3967,91950285644;2433,95973504385;2563,58474878177;2607,58246464537;4526,44841030717;3174,85310650927;3928,45461909354;2360,28681536181;2382,08735431743;2280,5946336187;4449,7755060085;4424,1887571968;4231,65118641569;2509,77409706584;2866,14409149213;2755,60103474944;4679,33996076766;4456,52722119716;2320,13081706294;2336,27304689084;2651,74296078583;2345,58143223233;4596,18790624;4560,93352483672;4171,08408349296;2592,89140468477;2601,23776968393;3404,01631790637;4286,20814221162;4586,32027242195;2341,72561254348;3434,53012536329;2330,53791288923;2499,72541954107;2391,6076232161;2374,02827573213;2416,24905884599;2529,26830802925;2695,14497590736;3289,10889708968;2382,89623972396;2327,50247424836;2350,50338253461;2352,96903539438;2364,9285915061;2354,62734457271
;59;3722,58683804437;3876,51088875501;3550,23549138484;3506,97453245317;2398,09800979403;2456,66076976115;4095,65525465944;3902,13302766788;2532,8889032357;2335,86916759632;2330,80516527026;2402,54533230677;3474,82375550426;3950,37287018165;3647,81956347862;2318,77033612463;2353,53737331381;2489,97742637069;4520,49554317235;4286,11559788549;3664,03572898568;2396,21912416845;2303,95153388551;2354,15332040358;2741,94306892266;3272,9374762539;3537,01733140818;2427,65599586849;2486,27115804285;2475,60805673192;4567,62744127294;3570,78710286846;2359,6590894601;2355,45367122071;2314,99779862265;2360,58995863365;2329,19394524579;2325,69807752;2328,88235366812;2364,87608937462;2399,14742340523;2506,21861135963;2354,27614242617;2348,5842398993;2337,16945024821;2352,65676806968;3115,77085960494;2315,72816989418;4351,4028956226;4259,6477952588;3968,65026514441;2427,03930700294;2551,72324193258;2595,28312719687;4523,42269596639;3170,73107094315;3922,50266661886;2361,4637270784;2379,69267556769;2279,99107433653;4449,88152817553;4432,53139796392;4231,01706490467;2500,71946298481;2852,82891304093;2738,54753314372;4683,452785658;4458,36470811438;2321,40042278254;2336,78369814957;2647,31308615051;2343,4093792589;4590,76491060415;4561,44261682999;4169,99841720388;2585,10258357002;2587,88997535331;3404,05115401399;4281,39406127836;4584,96471712502;2343,8214003831;3426,79179988726;2330,10166962238;2495,13455359569;2390,85294444472;2371,40890927766;2410,02278049955;2518,19471011802;2681,55506541183;3288,71212795804;2384,74264410409;2328,57626966738;2351,1749814885;2354,68747994222;2364,54391181985;2357,2785039073
;59,5;3715,51955715433;3869,00097604833;3537,64179988791;3498,56673686863;2396,67120254406;2453,52668939484;4086,21331819613;3885,27416284204;2529,50162232692;2333,64876472987;2334,3884328025;2401,71220667593;3478,07912954973;3948,885624587;3641,13234836403;2318,77460023149;2352,59121879025;2487,89170620869;4519,1236382285;4281,29417443806;3652,42121090111;2395,44231661357;2303,28363936013;2352,57907033467;2743,49943587207;3273,58537427577;3532,38792492222;2428,67550737117;2486,36123808169;2473,98918177929;4567,40125956364;3564,90981697411;2360,14496606562;2353,44326900405;2312,98359630026;2359,81059134405;2330,64671518556;2327,70444096153;2330,14446933631;2365,27979819172;2399,23750058917;2505,13656333706;2357,12037764603;2350,77907091962;2337,12692776452;2350,22533070949;3101,58253541185;2319,30243290121;4350,11561414957;4262,59480670922;3969,38102743238;2420,11887896202;2539,86173508338;2582,98378974837;4520,39698162562;3166,60903537703;3916,55071414418;2362,64063879499;2377,29799681795;2279,38751505437;4449,98755034257;4440,87403873105;4230,38294339365;2491,66482890378;2839,51373458972;2721,49403153799;4687,56561054834;4460,2021950316;2322,67002850214;2337,2943494083;2642,88321151519;2341,23732628547;4585,34191496831;4561,95170882326;4168,9127509148;2577,31376245528;2574,54218102268;3404,08599012162;4276,57998034511;4583,60916182809;2345,91718822273;3419,05347441123;2329,66542635552;2490,5436876503;2390,09826567333;2368,78954282319;2403,79650215311;2507,12111220679;2667,9651549163;3288,31535882639;2386,58904848423;2329,6500650864;2351,84658044238;2356,40592449006;2364,15923213361;2359,92966324189
;60;3708,45227626429;3861,49106334166;3525,04810839099;3490,15894128408;2395,24439529409;2450,39260902852;4076,77138173282;3868,4152980162;2526,11434141815;2331,42836186341;2337,97170033473;2400,8790810451;3481,3345035952;3947,39837899234;3634,44513324944;2318,77886433834;2351,64506426669;2485,80598604669;4517,75173328464;4276,47275099063;3640,80669281653;2394,66550905869;2302,61574483475;2351,00482026577;2745,05580282148;3274,23327229763;3527,75851843626;2429,69501887384;2486,45131812052;2472,37030682667;4567,17507785433;3559,03253107975;2360,63084267113;2351,43286678739;2310,96939397787;2359,03122405446;2332,09948512534;2329,71080440306;2331,4065850045;2365,68350700882;2399,32757777311;2504,05451531449;2359,96461286589;2352,97390193994;2337,08440528082;2347,79389334931;3087,39421121876;2322,87669590823;4348,82833267654;4265,54181815964;3970,11178972035;2413,1984509211;2528,00022823419;2570,68445229988;4517,37126728484;3162,48699981091;3910,5987616695;2363,81755051158;2374,90331806821;2278,7839557722;4450,0935725096;4449,21667949818;4229,74882188262;2482,61019482276;2826,19855613852;2704,44052993227;4691,67843543868;4462,03968194882;2323,93963422174;2337,80500066704;2638,45333687987;2339,06527331204;4579,91891933246;4562,46080081654;4167,82708462573;2569,52494134053;2561,19438669206;3404,12082622924;4271,76589941185;4582,25360653116;2348,01297606235;3411,31514893519;2329,22918308867;2485,95282170492;2389,34358690195;2366,17017636873;2397,57022380667;2496,04751429556;2654,37524442077;3287,91858969475;2388,43545286436;2330,72386050542;2352,51817939626;2358,12436903789;2363,77455244736;2362,58082257648
;60,5;3701,3849953743;3853,98115063499;3512,45441689407;3481,75114569953;2393,81758804409;2447,25852866222;4067,32944526951;3851,55643319037;2522,72706050935;2329,20795899693;2341,55496786692;2400,04595541428;3484,58987764067;3945,91113339769;3627,75791813486;2318,78312844519;2350,69890974311;2483,72026588466;4516,37982834085;4271,6513275432;3629,19217473196;2393,8887015038;2301,94785030933;2349,43057019687;2746,6121697709;3274,88117031945;3523,12911195028;2430,71453037654;2486,54139815935;2470,75143187403;4566,94889614507;3553,15524518544;2361,11671927662;2349,42246457071;2308,95519165548;2358,25185676488;2333,55225506511;2331,7171678446;2332,6687006727;2366,08721582587;2399,41765495704;2502,97246729191;2362,80884808577;2355,1687329603;2337,04188279715;2345,36245598914;3073,20588702562;2326,45095891524;4347,54105120356;4268,48882961008;3970,84255200833;2406,27802288019;2516,138721385;2558,3851148514;4514,3455529441;3158,3649642448;3904,6468091948;2364,99446222819;2372,50863931846;2278,18039649003;4450,19959467664;4457,55932026529;4229,11470037164;2473,5555607417;2812,88337768731;2687,38702832651;4695,79126032907;4463,87716886603;2325,20923994138;2338,31565192577;2634,02346224455;2336,89322033857;4574,49592369658;4562,96989280981;4166,74141833664;2561,73612022579;2547,84659236148;3404,15566233685;4266,95181847858;4580,89805123423;2350,10876390201;3403,57682345915;2328,7929398218;2481,36195575954;2388,58890813059;2363,55080991427;2391,34394546023;2484,97391638434;2640,78533392521;3287,52182056311;2390,28185724453;2331,7976559244;2353,18977835012;2359,84281358577;2363,38987276114;2365,23198191103
;61;3694,31771448425;3846,47123792832;3499,86072539715;3473,34335011499;2392,39078079412;2444,12444829591;4057,8875088062;3834,69756836453;2519,33977960057;2326,98755613047;2345,13823539915;2399,21282978344;3487,84525168614;3944,42388780303;3621,07070302027;2318,78739255204;2349,75275521955;2481,63454572266;4515,00792339699;4266,82990409577;3617,57765664739;2393,11189394892;2301,27995578395;2347,85632012797;2748,16853672031;3275,52906834131;3518,49970546432;2431,73404187922;2486,63147819818;2469,1325569214;4566,72271443576;3547,27795929108;2361,60259588214;2347,41206235404;2306,94098933309;2357,47248947528;2335,00502500488;2333,72353128613;2333,93081634089;2366,49092464297;2399,50773214098;2501,89041926934;2365,65308330563;2357,36356398063;2336,99936031346;2342,93101862896;3059,01756283253;2330,02522192226;4346,25376973053;4271,4358410605;3971,5733142963;2399,35759483927;2504,27721453581;2546,0857774029;4511,31983860332;3154,24292867868;3898,69485672012;2366,17137394478;2370,11396056872;2277,57683720786;4450,30561684368;4465,90196103241;4228,48057886061;2464,50092666067;2799,5681992361;2670,33352672079;4699,90408521941;4465,71465578325;2326,47884566098;2338,8263031845;2629,59358760923;2334,72116736514;4569,07292806074;4563,47898480308;4165,65575204756;2553,94729911104;2534,49879803085;3404,19049844448;4262,13773754533;4579,5424959373;2352,20455174163;3395,83849798312;2328,35669655495;2476,77108981416;2387,8342293592;2360,9314434598;2385,11766711379;2473,90031847311;2627,19542342968;3287,12505143146;2392,12826162466;2332,87145134342;2353,861377304;2361,56125813361;2363,00519307489;2367,88314124562
;61,5;3687,17883792941;3838,49500139318;3486,67703200402;3463,95810232148;2390,758184271;2440,92562286295;4047,30184381432;3817,34601200289;2516,1908678354;2324,62237061483;2348,18205254405;2398,22237191485;3485,53795085911;3943,20451670761;3614,48347516832;2319,2316299301;2348,6944057054;2479,82507616153;4513,80647434581;4261,76946655935;3606,03356490683;2392,15875037306;2300,14042364365;2346,40576367205;2748,6622359357;3275,08117716716;3514,32761158226;2432,51876973026;2486,67784801613;2467,80416121245;4561,35745836762;3541,45747779489;2362,38368950989;2346,02951376639;2305,43991449931;2356,31837842436;2336,84403773488;2335,99989733314;2335,70082510056;2367,033571163;2400,10673676155;2500,59778587907;2367,89729176176;2359,78889534572;2336,95102000246;2341,00374351331;3044,99395828108;2332,51530837108;4345,6900708986;4274,90331139138;3971,98770301222;2392,51977535803;2492,99986727607;2533,68961295384;4500,3714380611;3150,21346390804;3892,50862085919;2367,2477410553;2367,65817045096;2277,4537203613;4450,75479091906;4473,14408260994;4227,56271746746;2456,04998405963;2786,88510657128;2653,58890905161;4698,28312762801;4467,93996253022;2327,78469424756;2339,25904680414;2625,40840893728;2332,37912649331;4564,12722332877;4564,78382505417;4164,78163934493;2546,60788150403;2521,82886395885;3404,15689703153;4249,50835586638;4577,9073568039;2354,86978522725;3387,77276980559;2328,28939131421;2472,14013650699;2387,15842935592;2358,33832899522;2379,63616533615;2463,33249191386;2613,81868474597;3286,29719973913;2394,41572263353;2334,10101103633;2354,79874999577;2363,28179481502;2362,37944139848;2370,80847270017
;62;3680,59045220321;3830,39562194703;3473,29278583556;3453,85547608307;2388,79193793657;2437,51517836601;4036,34502652393;3800,09390019628;2513,52618590351;2322,50612345061;2350,10430069845;2397,54817616029;3477,64690601805;3942,06512724899;3608,09776418611;2320,09166124188;2347,66283631284;2478,30242471328;4512,51229772986;4256,62005307729;3594,6973569745;2391,12822648312;2298,78827749839;2344,91043460803;2748,37170691222;3273,16174938309;3510,52653725331;2433,66192749727;2486,93838953679;2466,74206612698;4550,11844069069;3535,22172664232;2363,62161197063;2344,97851078988;2304,11834459146;2355,22264898275;2339,18302400305;2338,53044603387;2337,65453802213;2368,09248004404;2401,04883946723;2499,63570095621;2369,76940348334;2362,40416112589;2336,63741902129;2339,54432259094;3031,53561437855;2333,95745876183;4345,83421201329;4279,00551694985;3972,08200499061;2385,95357903927;2482,21198396781;2521,65969923765;4482,37093676821;3145,4123848263;3886,71598967933;2368,70933539445;2365,37816412627;2277,53529426594;4451,28123797738;4478,48783330993;4226,44588066271;2448,16685538117;2774,86306741205;2637,11423243634;4689,92006804939;4470,55576478393;2329,12476461703;2339,80437144728;2621,53212725456;2329,55236199048;4560,07146611617;4566,73281244989;4163,79323914497;2539,63056437187;2509,87519030225;3404,18487295796;4229,84998049435;4575,21747820913;2357,29235568137;3380,30908726791;2328,82522364678;2467,41595252324;2386,30204599208;2355,78259997486;2374,3978493884;2453,46153178072;2600,59504194573;3284,98139507684;2396,76420186837;2335,65787831816;2355,67298100099;2365,54970724232;2362,11895599282;2373,61058428129
;62,5;3674,52310855978;3821,67938393445;3459,83276594976;3443,26703735107;2387,05460933086;2433,91576082505;4025,21612515164;3782,7070583867;2510,78573380787;2320,77407739501;2351,09070149638;2396,69712673988;3464,19109491743;3941,30307805243;3602,43095684054;2321,08535671995;2346,50757747102;2476,80349541272;4509,50441493939;4250,79744177783;3583,7105311423;2390,65136639936;2297,70881892455;2343,56673827538;2747,47645210699;3268,84498697935;3506,46440621815;2434,66144444388;2486,91633498071;2465,89996272499;4532,57626451655;3527,32233102894;2365,57004401114;2344,26062488326;2302,44048776019;2353,75059341138;2341,32779361636;2340,89362381799;2339,59249127438;2369,49769936332;2401,86300455073;2498,81200611484;2370,74729863726;2364,48895050227;2336,2316911399;2338,27070433764;3018,08937902352;2334,32483611156;4347,24947119162;4283,13501306192;3971,83256336613;2380,0768470798;2472,02200201435;2509,99709106217;4458,0015154137;3139,49974258356;3880,35759349051;2370,77304088911;2363,2065971157;2277,36895049367;4451,10026803894;4480,11627714743;4225,05690087464;2441,18574931043;2763,38572546624;2621,01954637068;4674,53549046127;4472,36260708895;2330,67482723023;2340,61916090603;2617,81583664338;2326,56086312152;4557,44678702197;4569,20125722564;4162,32849703295;2533,45847271828;2498,780374859;3403,93495677601;4203,87641625968;4569,57494817341;2359,42128563603;3373,4959985413;2329,79737625673;2462,84068593094;2385,7704202304;2353,337429413;2369,32951555289;2444,23367821549;2587,78455397986;3282,87769877349;2399,09006579258;2337,16945467849;2356,6367256584;2367,37185023991;2361,99899004382;2375,90951435063
