Target,Sample,Cq
CXCL9,95,33.1465656564153
CXCL9,95,32.912219774807
CXCL9,23,32.1159487844486
CXCL9,23,31.9400485807439
CXCL9,24,31.0547162347321
CXCL9,24,30.8721519283096
CXCL9,25,29.5657009929365
CXCL9,25,29.4280276496305
CXCL9,26,28.9201777614798
CXCL9,26,29.592038823973
CXCL9,28,30.7549758360865
CXCL9,28,30.4624268429419
CXCL9,30,30.7112998019038
CXCL9,30,30.3571728574233
CXCL9,31,28.8558952617403
CXCL9,31,29.2045002494865
CXCL9,32,28.2536387081022
CXCL9,32,29.15530005271
CXCL9,33,29.4423989978329
CXCL9,33,29.3970093070945
CXCL9,41,28.944566411757
CXCL9,41,28.8266471227831
CXCL9,42,30.1456483960449
CXCL9,42,30.0501562598285
CXCL9,43,31.6010096145196
CXCL9,43,31.2093005180858
CXCL9,44,28.5469822263408
CXCL9,44,28.6625823857937
CXCL9,45,28.2791567505245
CXCL9,45,28.0750858626503
CXCL9,46,21.6249592585158
CXCL9,47,30.2574555028685
CXCL9,47,29.753906514133
CXCL9,48,25.9456286397061
CXCL9,48,26.0029913860467
CXCL9,49,28.1979592054092
CXCL9,49,28.3073494487329
CXCL9,51,29.0820283383272
CXCL9,51,29.0909503694318
CXCL9,53,27.334710374703
CXCL9,53,28.0772413808976
CXCL9,54,29.4135295711081
CXCL9,55,32.222928495415
CXCL9,55,31.3435342266145
CXCL9,59,31.4732281209674
CXCL9,59,32.0853642971206
CXCL9,61,31.4693275707997
CXCL9,61,30.8281196769703
CXCL9,64,32.2242070338718
CXCL9,64,32.8636748211669
CXCL9,66,33.0075893796802
CXCL9,66,32.4373969896199
CXCL9,67,29.2478736014059
CXCL9,67,29.5388791498605
CXCL9,75,31.4773832037337
CXCL9,75,31.282198409407
CXCL9,76,31.8872161572956
CXCL9,76,31.6858588908981
CXCL9,77,32.0780666471306
CXCL9,77,30.9720730561733
CXCL9,80,27.42276688603
CXCL9,80,27.8344474811
CXCL9,81,30.7763652808873
CXCL9,81,31.3337930405069
CXCL9,82,27.3913651091133
CXCL9,82,27.9226511094378
CXCL9,83,25.9629586347488
CXCL9,83,25.6987734785048
CXCL9,84,31.5029347780376
CXCL9,84,31.5559465031411
CXCL9,85,32.3230615789758
CXCL9,85,32.3433210592574
CXCL9,86,33.0081521922693
CXCL9,86,32.6383177939754
CXCL9,88,30.6857743768989
CXCL9,88,32.4778530669448
CXCL9,89,32.026667983507
CXCL9,90,34.34620740426
CXCL9,90,34.3525087633928
CXCL9,91,30.4288088643657
CXCL9,91,30.053000684402
CXCL9,93,30.7262393858316
CXCL9,93,30.4009493893212
CXCL9,94,30.2386776179395
CXCL9,94,29.6234604934231
