Target,Sample,Cq
IL-6,95,28.0485796604977
IL-6,95,27.1834653784924
IL-6,23,27.2813905980699
IL-6,23,27.1211090103518
IL-6,24,25.9757559636397
IL-6,24,25.7901689985143
IL-6,25,24.1747796491514
IL-6,25,24.1436765463399
IL-6,26,24.5391852955819
IL-6,28,26.9429115043238
IL-6,28,26.1878382057034
IL-6,30,26.897735051252
IL-6,31,23.6843417673207
IL-6,31,23.4983530569116
IL-6,32,23.3480594750395
IL-6,32,23.0209072683931
IL-6,33,26.0812329310976
IL-6,33,26.3918879382661
IL-6,41,26.7773133286008
IL-6,41,26.2158545364467
IL-6,42,28.2978896453159
IL-6,42,27.366890211003
IL-6,43,27.9600402648748
IL-6,43,27.3061042833981
IL-6,44,24.2424315959101
IL-6,44,24.0181112298025
IL-6,45,23.5944995620154
IL-6,45,23.9544809491241
IL-6,47,26.2327915933175
IL-6,47,25.7941979146045
IL-6,48,27.0275427231371
IL-6,48,25.4046145281421
IL-6,49,23.8619757850519
IL-6,49,23.479181985239
IL-6,51,24.1776461888724
IL-6,51,24.0940538876831
IL-6,53,23.1057920142328
IL-6,53,23.1495046210314
IL-6,55,27.5676105934006
IL-6,55,27.1628506746371
IL-6,59,28.1676803878059
IL-6,59,27.3697053075428
IL-6,61,26.2682607621535
IL-6,61,26.187823033153
IL-6,64,28.6027015012084
IL-6,64,28.1236138841347
IL-6,66,28.6277127853811
IL-6,66,28.1029881055987
IL-6,67,25.0299637505046
IL-6,75,28.6234847940959
IL-6,75,27.8350386348948
IL-6,76,29.0371205499335
IL-6,76,28.2522776405061
IL-6,77,27.1459957268002
IL-6,77,26.6639513556702
IL-6,80,24.069750804086
IL-6,80,24.0912401846339
IL-6,81,26.2424326733511
IL-6,81,26.1979589592106
IL-6,82,25.4163720460202
IL-6,83,27.0118390009202
IL-6,83,25.9340440845159
IL-6,84,31.0965003959852
IL-6,84,28.3328766513232
IL-6,85,29.0838511340419
IL-6,85,28.7430059459372
IL-6,86,29.6043979035574
IL-6,86,29.0545847362021
IL-6,88,28.5139064129214
IL-6,88,28.8699964241836
IL-6,89,28.4964908763914
IL-6,90,31.3515016600676
IL-6,90,29.6602756943504
IL-6,91,26.2040652515506
IL-6,93,26.3140656518383
IL-6,93,26.019438608371
IL-6,94,24.781978247469
IL-6,94,24.612466966556
