Sample,Gene,Cq,Cq Mean
lm0041,CDC42,23.25,23.25
lm0041,CDC42,23.24,23.25
lm0090,CDC42,23.62,23.52
lm0090,CDC42,23.42,23.52
lm0044,CDC42,23.85,23.81
lm0044,CDC42,23.77,23.81
lm0086,CDC42,23.65,23.63
lm0086,CDC42,23.60,23.63
lm0069,CDC42,23.16,23.18
lm0069,CDC42,23.20,23.18
lm0076,CDC42,23.23,23.35
lm0076,CDC42,23.46,23.35
lm0063,CDC42,23.67,23.71
lm0063,CDC42,23.75,23.71
lm0095,CDC42,22.94,23.00
lm0095,CDC42,23.06,23.00
lm0026,CDC42,23.21,23.20
lm0026,CDC42,23.19,23.20
lm0051,CDC42,23.52,23.42
lm0051,CDC42,23.32,23.42
lm0081,CDC42,23.70,23.76
lm0081,CDC42,23.82,23.76
lm0067,CDC42,25.20,25.17
lm0067,CDC42,25.14,25.17
lm0024,CDC42,23.54,23.44
lm0024,CDC42,23.35,23.44
lm0077,CDC42,25.38,25.37
lm0077,CDC42,25.36,25.37
lm0085,CDC42,23.43,23.44
lm0085,CDC42,23.46,23.44
lm0083,CDC42,24.75,25.00
lm0083,CDC42,25.25,25.00
lm0061,CDC42,23.63,23.51
lm0061,CDC42,23.39,23.51
lm0088,CDC42,23.18,23.11
lm0088,CDC42,23.03,23.11
lm0094,CDC42,22.49,22.31
lm0094,CDC42,22.13,22.31
lm0046,CDC42,23.70,23.70
lm0046,CDC42,23.71,23.70
lm0092,CDC42,21.79,21.74
lm0092,CDC42,21.69,21.74
lm0047,CDC42,22.15,22.05
lm0047,CDC42,21.96,22.05
lm0084,CDC42,22.92,22.84
lm0084,CDC42,22.75,22.84
lm0043,CDC42,22.07,22.02
lm0043,CDC42,21.97,22.02
lm0029,CDC42,22.22,22.25
lm0029,CDC42,22.27,22.25
lm0052,CDC42,23.10,23.07
lm0052,CDC42,23.04,23.07
lm0075,CDC42,22.02,22.04
lm0075,CDC42,22.05,22.04
lm0064,CDC42,23.31,23.32
lm0064,CDC42,23.33,23.32
lm0082,CDC42,21.67,21.69
lm0082,CDC42,21.72,21.69
lm0068,CDC42,22.72,22.53
lm0068,CDC42,22.35,22.53
lm0093,CDC42,22.99,22.96
lm0093,CDC42,22.93,22.96
lm0079,CDC42,23.60,23.56
lm0079,CDC42,23.52,23.56
lm0055,CDC42,22.85,22.67
lm0055,CDC42,22.48,22.67
lm0059,CDC42,21.41,21.34
lm0059,CDC42,21.28,21.34
lm0042,CDC42,23.78,23.69
lm0042,CDC42,23.59,23.69
lm0065,CDC42,23.57,23.60
lm0065,CDC42,23.63,23.60
LM0080,CDC42,23.72,23.94
LM0080,CDC42,24.16,23.94
LM0028,CDC42,23.73,23.88
LM0028,CDC42,24.02,23.88
LM0033,CDC42,23.04,23.26
LM0033,CDC42,23.47,23.26
LM0045,CDC42,23.61,23.85
LM0045,CDC42,24.08,23.85
LM0023,CDC42,23.44,23.28
LM0023,CDC42,23.12,23.28
LM0089,CDC42,23.93,23.73
LM0089,CDC42,23.53,23.73
LM0035,CDC42,24.48,24.60
LM0035,CDC42,24.73,24.60
LM0030,CDC42,23.64,23.65
LM0030,CDC42,23.66,23.65
LM0056,CDC42,22.74,22.67
LM0056,CDC42,22.61,22.67
LM0091,CDC42,24.61,24.39
LM0091,CDC42,24.17,24.39
LM0073,CDC42,24.74,24.50
LM0073,CDC42,24.27,24.50
LM0066,CDC42,23.73,23.71
LM0066,CDC42,23.70,23.71
LM0032,CDC42,23.89,23.67
LM0032,CDC42,23.45,23.67
lm0031,CDC42,22.46,22.47
lm0031,CDC42,22.48,22.47
lm0025,CDC42,22.25,22.25
lm0025,CDC42,22.24,22.25
lm0072,CDC42,23.55,23.52
lm0072,CDC42,23.49,23.52
lm0078,CDC42,22.33,22.35
lm0078,CDC42,22.38,22.35
lm0071,CDC42,22.95,23.00
lm0071,CDC42,23.04,23.00
lm0048,CDC42,22.83,22.84
lm0048,CDC42,22.86,22.84
lm0049,CDC42,22.94,22.99
lm0049,CDC42,23.03,22.99
lm0027,CDC42,23.17,23.05
lm0027,CDC42,22.93,23.05
lm0041,Ppia,18.55,18.54
lm0041,Ppia,18.54,18.54
lm0090,Ppia,16.94,17.03
lm0090,Ppia,17.11,17.03
lm0044,Ppia,18.66,18.65
lm0044,Ppia,18.63,18.65
lm0086,Ppia,17.23,17.19
lm0086,Ppia,17.16,17.19
lm0069,Ppia,17.82,17.79
lm0069,Ppia,17.75,17.79
lm0076,Ppia,18.09,18.35
lm0076,Ppia,18.60,18.35
lm0063,Ppia,16.87,16.88
lm0063,Ppia,16.84,16.88
lm0095,Ppia,18.44,18.30
lm0095,Ppia,18.16,18.30
lm0026,Ppia,18.84,18.87
lm0026,Ppia,18.91,18.87
lm0051,Ppia,17.56,17.52
lm0051,Ppia,17.49,17.52
lm0081,Ppia,16.84,16.87
lm0081,Ppia,16.90,16.87
lm0067,Ppia,18.22,18.50
